Pharmanummer;Handelsname;Mengenangabe;Mengenart
49259;RIFOLDIN KPS 150MG;16;ST
49265;RIFOLDIN KPS 150MG;100;ST
49271;RIFOLDIN KPS 300MG;8;ST
49986;ROWACHOL TR;10;ML
49992;ROWACHOL KPS;50;ST
50015;ROWATINEX KPS;50;ST
50251;SALAZOPYRIN FTBL 500MG;100;ST
50825;SAROTEN FTBL 10MG;100;ST
50848;SAROTEN FTBL 25MG;100;ST
50989;SCHERIPROCT SLB;30;G
50995;SCHERIPROCT SUPP;6;ST
52899;SOLUT CORDES LSG DERM;100;G
54846;SYNACTHEN DEP AMP;1;ST
55188;SYNTOCINON SPRAY;5;ML
55455;TANNOSYNT FL BADEKONZ;100;G
55828;TEGRETOL TBL 200MG;100;ST
58815;TRUXAL FTBL 15MG;50;ST
58821;TRUXAL FTBL 50MG;50;ST
58838;TRUXAL FTBL 50MG;100;ST
60048;URALYT-U GRAN;280;G
60114;URBASON TBL  4MG;20;ST
60120;URBASON TBL  4MG;100;ST
61935;VERTIROSAN DRG 50MG;10;ST
61941;VERTIROSAN DRG 50MG;40;ST
61958;VERTIROSAN SUPP 100MG;5;ST
61964;VERTIROSAN SUPP  50MG KIND;5;ST
61970;VERTIROSAN B6 VIT MDRG;10;ST
61987;VERTIROSAN B6 VIT MDRG;40;ST
62886;VOLON TBL 4MG;20;ST
62900;VOLON TBL 8MG;10;ST
62917;VOLON TBL 8MG;20;ST
62975;VOLON-A 10MG AMP;1;ST
62981;VOLON-A 40MG AMP;1;ST
63532;XYLOCAIN GEL 2%;30;ML
63584;XYLONEURAL AMP 5ML;5;ST
63638;ZYLORIC TBL 100MG;100;ST
63650;ZYMAFLUOR TBL 0,25MG;300;ST
63756;HIRUDOID GEL;40;G
63816;THROMBOPHOB GEL;40;G
63928;LIORESAL TBL 10MG;50;ST
63934;LIORESAL TBL 25MG;50;ST
64129;TEMESTA TBL 1MG;20;ST
64135;TEMESTA TBL 1MG;50;ST
64141;TEMESTA TBL 2,5MG;20;ST
64543;EUSAPRIM SUS OR KIND;50;ML
65459;ANXIOLIT TBL FTE 50MG;30;ST
65525;BETASERC TBL  8MG;100;ST
65548;BURONIL FTBL  25MG;50;ST
66016;QUILONORM RET TBL;60;ST
66453;CALMURID SLB;50;G
66476;CLOMIPHEN ARC TBL;10;ST
66499;COMBANTRIN SUS OR;10;ML
66795;REFOBACIN AMP  80MG 2ML;5;ST
67091;ALDACTONE UEBERZ.TBL 50MG;20;ST
67116;ALDACTONE UEBERZ.TBL 50MG;50;ST
67292;RIFOLDIN SIR;60;ML
67352;ZYMAFLUOR TBL 1MG;100;ST
67553;OSPEN- 400 SFT;60;ML
67932;PK-MERZ FTBL;30;ST
68481;CELESTAN BIPHASE AMP 1ML;1;ST
69434;LEPONEX TBL  25MG;50;ST
69919;URBASON TBL 40MG;10;ST
70147;AKINETON RET FTBL 4MG;50;ST
70437;SOLU-DACORTIN TRSTAMP 250MG;1;ST
70733;OSPEN-1500 FTBL;12;ST
71810;DAKTARIN CR 2%;30;G
72040;PRAXITEN TBL 50MG;100;ST
72643;X-PREP OR LSG;75;ML
72821;FERROGRAD FOL FTBL;30;ST
73016;LASIX TBL  40MG;20;ST
73134;NOVOTHYRAL TBL;20;ST
73252;AKTIFERRIN KPS;20;ST
73269;AKTIFERRIN KPS;50;ST
73401;NOVOTHYRAL TBL;100;ST
73476;UROSIN TBL 100MG;100;ST
73507;ARTAMIN KPS 150MG;50;ST
73602;GYNODIAN DEP FSPR 1ML;1;ST
73973;ATROVENT DOSAER 200;1;ST
74665;OSPEN- 400 SFT;150;ML
74688;OSPEN-1000 FTBL;30;ST
74694;OSPEN-1500 FTBL;30;ST
74719;SALAZOPYRIN TBL 500MG;100;ST
75297;SORMODREN TBL;50;ST
75305;SORMODREN TBL;100;ST
75914;TARDYFERON RETARDTBL 80MG;30;ST
78462;AKINETON AMP 5MG 1ML;5;ST
79645;AMPHOMORONAL LTBL;20;ST
80022;ANDROCUR TBL  50MG;50;ST
81145;AQUAPHORIL TBL;20;ST
81151;AQUAPHORIL TBL;50;ST
87024;CATAPRESAN AMP 1ML;5;ST
87076;CATHEJELL DIPHENH.TB;100;G
93065;DESFERAL TRSTAMP 500MG;10;ST
93616;DIBENZYRAN KPS 10MG;20;ST
94886;DIPIDOLOR AMP 2ML;5;ST
94975;DIPRODERM CR;30;G
94998;DIPRODERM SLB;30;G
98720;ERYTHROCIN LACT TRSUB 1G;1;ST
99205;ETIBI TBL 500MG;100;ST
101296;FLOXAPEN KPS 500MG;16;ST
103668;GLUCAGEN DFL HYPOKIT;1;ST
109636;INSTILLAGEL ESPR  6ML;10;ST
109659;INSTILLAGEL ESPR 11ML;10;ST
116004;LUDIOMIL FTBL 50MG;100;ST
118322;MINIDIAB TBL 5MG;30;ST
118339;MINIDIAB TBL 5MG;120;ST
119273;MUTAFLOR KPS;20;ST
119296;MUTAFLOR KPS;100;ST
119304;MUTAFLOR KPS MTE;20;ST
121732;NITROLINGUAL PUSPRAY 0,4MG;11,2;G
132641;RESONIUM-A PLV;450;G
137408;SOLU-CELESTAN AMP 1ML;5;ST
146927;ULTRACORTENOL AU-SLB;5;G
147513;URBASON TBL 40MG;50;ST
149239;VELBE TRSUB TRSTAMP 10MG;1;ST
151348;VOLON-A HAFTSLB;10;G
151489;VOLTAREN FTBL 25MG;30;ST
151934;XYLOCAIN AMP 2% 5ML;5;ST
154039;DEPAKINE TR 300MG/ML;60;ML
154140;PARACODIN TR;30;G
154594;DIBENZYRAN KPS 10MG;100;ST
154737;SULTANOL SFT;150;ML
155777;VOLON-A 80MG SPRAMP;1;ST
157718;DIPRODERM LSG DERM;30;ML
159516;PANTELMIN TBL;6;ST
159769;TETAGAM P FSPR;1;ML
169644;KCL RET SLOW-K DRG 600MG;40;ST
171428;ALDACTONE KPS 100MG;20;ST
171434;ALDACTONE KPS 100MG;50;ST
171486;CONVULEX LSG 300MG/ML;100;ML
171948;LASIX TBL 500MG;20;ST
176621;OXSORALEN KPS 10MG;50;ST
177394;ASTONIN-H TBL;100;ST
178465;ANXIOLIT RET KPS 30MG;20;ST
178531;ERGOMED TR;15;ML
178548;ERGOMED TR;50;ML
178873;UROSIN TBL 300MG;30;ST
178904;VOLTAREN IJLSG AMP 3ML;5;ST
182136;AUREOCORT SLB;30;G
182225;DIPROGENTA CR;30;G
182260;DIPROGENTA SLB;30;G
182490;RIVOTRIL TBL 2MG;100;ST
187866;PSYCHOPAX TR;20;ML
188498;DERMOVATE CR;25;G
188506;DERMOVATE CR;100;G
188529;DERMOVATE SLB;100;G
188647;BETAISODONA LSG STAND.;500;ML
188713;ESTRACYT KPS 140MG;100;ST
189983;INDERAL FTBL 40MG;50;ST
190093;PETINIMID KPS;100;ST
190199;QUANTALAN ZUFR PLV;50;ST
191885;COLDOPHTHAL AU-TR;10;ML
193074;REFOBACIN AMP 120MG 2ML;5;ST
193105;RIFOLDIN +INH DRG 300MG;30;ST
193111;SIALIN-SIGMA LSG;100;ML
193186;IMUREK FTBL;50;ST
193507;LUDIOMIL FTBL 75MG;20;ST
193513;LUDIOMIL FTBL 75MG;100;ST
193559;PEVARYL CR;30;G
193938;CONVULEX KPS 300MG;100;ST
193944;CONVULEX KPS 150MG;100;ST
194116;MAXI-KALZ BRTBL  500MG;20;ST
194122;MAXI-KALZ BRTBL 1000MG;10;ST
195423;KEFLEX FTBL 1000MG;12;ST
202270;DALACIN C KPS 150MG;16;ST
202318;EUTHYROX TBL  75MCG;20;ST
202324;EUTHYROX TBL  75MCG;100;ST
202330;GICHTEX RET KPS 250MG;28;ST
202353;GLURENORM TBL;30;ST
202376;GLURENORM TBL;120;ST
202471;LEGALON KPS  70MG;20;ST
202488;LEGALON KPS  70MG;100;ST
202531;OSPEXIN FTBL  500MG;12;ST
202554;OSPEXIN FTBL 1000MG;12;ST
202577;OSPEXIN GRAN OR SUS 250MG;60;ML
204895;THROMBOPHOB-S GEL;40;G
207304;BELOC TBL  50MG;20;ST
207310;BELOC TBL  50MG;50;ST
207327;BELOC TBL 100MG;20;ST
207333;BELOC TBL 100MG;50;ST
438009;CANDIO-HERMAL SOFT PST;20;G
438274;CIMETIDIN GEN FTBL 400MG;20;ST
438386;CIMETIDIN GEN FTBL 400MG;50;ST
438400;COLDISTAN AU-TR;10;ML
440093;MOTRIM TBL 100MG;20;ST
440325;MOTRIM TBL 200MG;10;ST
440331;MOTRIM TBL 200MG;25;ST
442637;NERISONA CR;15;G
442643;NERISONA CR;30;G
442666;NERISONA FSLB;15;G
442672;NERISONA FSLB;30;G
442689;NERISONA SLB;15;G
442695;NERISONA SLB;30;G
452127;ANTABUS TBL LSL;50;ST
452216;DALACIN C GRAN 75MG/5ML;80;ML
453701;EUSAPRIM TBL FTE;10;ST
453888;LEXOTANIL ROCH TBL 3MG;20;ST
453894;LEXOTANIL ROCH TBL 3MG;50;ST
455404;AKTIFERRIN SFT;100;ML
455410;AKTIFERRIN TR;30;ML
455663;DIAMOX TBL 250MG;20;ST
455893;ISOPTIN DRG 40MG;20;ST
455901;ISOPTIN DRG 40MG;50;ST
456220;REPARIL DRG 20MG;60;ST
456303;SOLU-MEDROL TRSTAMP 1000MG;1;ST
458213;RIVOTRIL TBL 0,5MG;100;ST
458578;APREDNISLON TBL  5MG;10;ST
458584;APREDNISLON TBL  5MG;40;ST
458638;DYTIDE-H TBL;20;ST
458644;INSIDON DRG;100;ST
461250;BRICANYL AMP 0,5MG 1ML;5;ST
461310;PREDNISOLON NYC TBL  5MG;40;ST
486296;HYDERGIN TBL 2MG;20;ST
486304;HYDERGIN TBL 2MG;50;ST
486356;NERIFORTE FSLB;15;G
486385;NERIFORTE SLB;15;G
489863;ANXIOLIT RET KPS 30MG;50;ST
489917;ATROPIN SULF NYC AMP 0,5MG;5;ST
489952;BANEOCIN PDR;10;G
490151;CYKLOKAPRON IJLSG AMP 5ML;5;ST
490168;DELTA-HAEDENSA SUPP;6;ST
490234;DIBONDRIN LIQU;100;ML
490642;HALDOL TBL  1MG;100;ST
490748;INDOCID KPS 25MG;50;ST
492173;VOLTAREN SUPP 100MG;6;ST
498767;ZOVIRAX AU-SLB 3%;4,5;G
501386;THIOGUANIN ASPEN TBL;25;ST
502196;FARLUTAL DEP STAMP  500MG;3;ST
506567;SOLU-DACORTIN TRSTAMP 1G;1;ST
507897;ANAFRANIL DRG 25MG;100;ST
507928;CATAPRESAN TBL 0,15MG;100;ST
508141;RESYL TR +COD;15;ML
508158;RESYL TR +COD;30;ML
508276;TENORMIN FTBL 100MG;20;ST
508282;TENORMIN FTBL 100MG;50;ST
508448;VOLTAREN SUPP  50MG;6;ST
509465;DOGMATIL TBL 200MG;20;ST
509471;DOGMATIL TBL 200MG;50;ST
510876;UROSIN TBL 100MG;30;ST
515974;VOLON-A 40MG SPRAMP;1;ST
518228;TRAMAL AMP  50MG 1ML;5;ST
519541;AKINETON RET FTBL 4MG;100;ST
519630;BETNESOL BRTBL;10;ST
519742;CELESTAN BIPHASE AMP 1ML;5;ST
519794;DELTA-HAEDENSA SLB;10;G
519825;DIGIMERCK TBL 0,1MG;30;ST
519831;DIPRODERM LSG DERM;15;ML
520024;INDERAL FTBL 10MG;20;ST
520030;INDERAL FTBL 40MG;20;ST
520171;MOBILAT GEL;40;G
520188;MOBILAT SLB;40;G
520260;OVESTIN TBL 1MG;30;ST
520343;PK-MERZ FTBL;100;ST
520550;SOLU-CELESTAN AMP 1ML;1;ST
520946;VOLTAREN FTBL 50MG;30;ST
520952;VOLTAREN FTBL 50MG;50;ST
522709;DIPROPHOS SUS AMP 1ML;1;ST
522715;DIPROPHOS SUS AMP 1ML;5;ST
522744;DIPROSALIC SLB;30;G
523577;BETASERC TBL  8MG;30;ST
523614;DIPROSALIC LSG DERM;30;ML
523726;TIMOPTIC AU-TR 0,50%;5;ML
523732;TRENTAL FTBL 400MG;20;ST
523749;TRENTAL FTBL 400MG;50;ST
523844;RHEUMON GEL;40;G
525636;AKTIFERRIN CP KPS;30;ST
525642;AKTIFERRIN CP KPS;100;ST
528528;ALDACTONE SALT KPS FTE;20;ST
530293;CYKLOKAPRON FTBL;100;ST
530436;LOESFERRON BRTBL FTE;30;ST
532955;BURINEX LEO TBL 1MG;50;ST
533021;DYTIDE-H TBL;50;ST
533185;LUDIOMIL FTBL 25MG;50;ST
533191;LUDIOMIL FTBL 25MG;100;ST
533216;LUDIOMIL FTBL 50MG;50;ST
533222;MADOPAR KPS  50/12,5MG;30;ST
533239;MADOPAR KPS  50/12,5MG;100;ST
533245;MARCOUMAR TBL 3MG;100;ST
533280;MULTODRIN SLB;30;G
533386;PARKEMED KPS 250MG;30;ST
533392;PARKEMED KPS 250MG;50;ST
533423;SINTROM TBL;30;ST
533446;SINTROM TBL;100;ST
547129;ANAFRANIL DRG 25MG;50;ST
547299;FERRETAB KPS;30;ST
547460;OSPEN- 750 SFT;60;ML
549163;JUMEX TBL;50;ST
552018;ZADITEN SIR KIND;100;ML
559061;GYNO-PEVARYL VAG-SUPP 150MG;3;ST
564889;DIBENZYRAN KPS  5MG;20;ST
564895;DIBENZYRAN KPS  5MG;100;ST
564978;GEWACALM TBL  2MG;25;ST
564984;GEWACALM TBL  2MG;50;ST
564990;GEWACALM TBL  5MG;25;ST
565009;GEWACALM TBL  5MG;50;ST
565015;GEWACALM TBL 10MG;25;ST
565021;GEWACALM TBL 10MG;50;ST
570714;INDOCID RET KPS 75MG;30;ST
570720;INDOCID RET KPS 75MG;50;ST
575605;SAROTEN FTBL 25MG;50;ST
589228;DIHYDERGOT TBL 2,5MG;20;ST
589234;DIHYDERGOT TBL 2,5MG;50;ST
593767;ROCALTROL KPS 0,25MCG;30;ST
593773;ROCALTROL KPS 0,25MCG;100;ST
593796;ROCALTROL KPS 0,50MCG;30;ST
593804;ROCALTROL KPS 0,50MCG;100;ST
596949;DERMOVATE CRIN LSG;30;ML
609043;DESITIN SLB;50;G
609155;TONSILLOL GURGELLSG;60;ML
614392;ALDOMETIL FTBL 500MG;30;ST
614400;ALDOMETIL FTBL 500MG;100;ST
614601;DIPROPHOS SUS AMP 2ML;1;ST
614653;EMOVATE CR;30;G
614854;TEGRETOL TBL 400MG;50;ST
614860;TEGRETOL TBL 400MG;100;ST
614877;TENORMIN FTBL  50MG;20;ST
614883;TENORMIN FTBL  50MG;50;ST
614943;VOLTAREN RET FTBL 100MG;30;ST
614966;VOLTAREN RET FTBL 100MG;50;ST
618579;DOGMATIL KPS 50MG;50;ST
618585;FRISIUM TBL 10MG;20;ST
620234;SULTANOL INHAL LSG;10;ML
632289;OSPEN- 750 SFT;150;ML
632295;POTABA GLENW PLV 3G;40;ST
632361;TENORETIC FTBL;20;ST
632378;TENORETIC FTBL;50;ST
632384;TRAVOCORT CR;15;G
632390;TRAVOGEN CR;30;G
633024;ESTROFEM FTBL 2MG;28;ST
633099;GEWACALM AMP 10MG 2ML;5;ST
633202;PREDNISOLON NYC TBL 25MG;10;ST
633219;PREDNISOLON NYC TBL 25MG;40;ST
633308;TAVIPEC KPS;30;ST
633314;TRISEQUENS FTBL;28;ST
637743;CECLOR GRAN 250MG/5ML;60;ML
643086;CECLOR GRAN 125MG/5ML;60;ML
651743;MINIRIN LSG Z.INTRANAS.ANW.;2,5;ML
651915;URSOFALK KPS 250MG;50;ST
658509;APREDNISLON TBL 25MG;40;ST
658550;CONVULEX KPS 500MG;100;ST
659012;TENORETIC FTBL MTE;20;ST
659029;TENORETIC FTBL MTE;50;ST
678707;CONVULEX SIR 50MG/ML KIND;100;ML
678854;EUSAPRIM SUS OR KIND;100;ML
678908;FRISIUM TBL 10MG;50;ST
678943;LASILACTON KPS 20/ 50MG;20;ST
678966;LASILACTON KPS 20/ 50MG;50;ST
678972;LASILACTON KPS 20/100MG;20;ST
679345;TOLVON FTBL 30MG;20;ST
690677;ANDROCUR DEP AMP 3ML;3;ST
694008;ANTIBIOPHILUS PLV;10;ST
705775;BURONIL FTBL  50MG;50;ST
705781;BURONIL FTBL  50MG;100;ST
705947;FORTECORTIN AMP  40MG 5ML;1;ST
706148;MYCOSTATIN ZINKOXID PST;20;G
713987;FOLSAN TBL 5MG;20;ST
715472;TRAMAL KPS 50MG;10;ST
715489;TRAMAL TR;10;ML
721461;BETAISODONA LSG STAND.;15;ML
721478;BETAISODONA LSG STAND.;100;ML
721998;ISOMONAT TBL 20MG;20;ST
722006;ISOMONAT TBL 20MG;60;ST
722101;MYCOSTATIN SLB;20;G
722130;NEUROTOP TBL 200MG;50;ST
722147;NEUROTOP TBL 200MG;100;ST
722153;NOCTAMID TBL;10;ST
722242;PROXEN FTBL 500MG;50;ST
722325;TOLVON FTBL 30MG;60;ST
722377;VOLON-A CR;20;G
722414;VOLON-A SLB;20;G
726398;ADALAT RET FTBL 20MG;20;ST
726406;ADALAT RET FTBL 20MG;50;ST
726582;EBRANTIL RET KPS 30MG;30;ST
727529;MADOPAR TBL 200/50MG;30;ST
727535;MADOPAR TBL 200/50MG;100;ST
727593;MOTILIUM FTBL 10MG;10;ST
727601;MOTILIUM FTBL 10MG;50;ST
738088;SOLU-VOLON A AMP 40MG;1;ST
742345;CALC FOL EBE KPS 15MG;20;ST
742428;FAKTOR VII IMM 600IE;1;ST
743190;ISOZID ALK.LSG H FARBLOS;100;ML
743209;ISOZID ALK.LSG H FARBLOS;500;ML
750787;SEDACORON TBL 200MG;50;ST
751700;BERODUALIN INHAL LSG;20;ML
751723;COLOFAC DRG 135MG;30;ST
751858;DOEDERLEIN-MED VAG-KPS;6;ST
752817;JOPAMIRO 300MG STAMP  50ML;1;ST
752823;LASIX RET KPS 30MG;20;ST
752970;PYRAFAT TBL;50;ST
753171;VIBRAMYCIN TBL LSB 100MG;5;ST
753188;VIBRAMYCIN TBL LSB 100MG;10;ST
753521;ISOZID ALK.LSG H FARBLOS;15;ML
754176;FEIBA 50E./ML PLV +LSM 1000E;1;ST
760780;HALDOL DECAN.AMP 50MG/ML 1ML;1;ST
760805;HALDOL DECAN.AMP 50MG/ML 3ML;1;ST
760917;JOPAMIRO 370MG AMP 20ML;1;ST
773179;BEZALIP RET FTBL 400MG;30;ST
773311;CISORDINOL FTBL  2MG;50;ST
773340;CISORDINOL FTBL 10MG;100;ST
773363;CISORDINOL FTBL 25MG;100;ST
773423;CISORDINOL DEP AMP 200MG;1;ST
773676;HALCION TBL 0,25MG;10;ST
773883;MERESASUL KPS  50MG;50;ST
773908;MERESASUL KPS  50MG;100;ST
773989;OSPAMOX FTBL  500MG;10;ST
774003;OSPAMOX FTBL  750MG;10;ST
774026;OSPAMOX FTBL 1000MG;10;ST
774285;SANAXIN FTBL  500MG;12;ST
774291;SANAXIN FTBL 1000MG;12;ST
774523;KREON KPS 10.000;20;ST
774546;KREON KPS 10.000;50;ST
781753;DIGIMERCK TBL 0,07MG;30;ST
781776;DIGIMERCK TBL 0,07MG;84;ST
781799;DOGMATIL KPS 50MG;100;ST
781919;KRYPTOCUR SPRLSG 0,2MG;2;ST
785900;ZOVIRAX FTBL 200MG;25;ST
786762;VENOBENE SLB;100;G
787218;TRAMAL AMP 100MG 2ML;5;ST
788407;TEMGESIC SUBLING TBL 0,2MG;10;ST
791964;BETAISODONA VAG-SUPP;7;ST
792082;DIPROFORTE SLB;30;G
792219;HALDOL TBL 10MG;20;ST
792225;HALDOL TBL 10MG;100;ST
792515;DICLOFENAC SAN FTBL 50MG;30;ST
792521;DICLOFENAC SAN FTBL 50MG;50;ST
792544;DICLOFENAC SAN RET FTBL 100;30;ST
792550;DICLOFENAC SAN RET FTBL 100;50;ST
792745;SOTACOR TBL 160MG;50;ST
792828;UNIFYL RET TBL 400MG;20;ST
792834;UNIFYL RET TBL 400MG;50;ST
802917;AUGMENTIN FTBL  625/500/125;12;ST
806364;VEPESID KPS;10;ST
809776;BETAISODONA VAG-GEL;50;G
809842;DAKTARIN GEL OR 2%;40;G
810176;MUNDIDOL RET FTBL  10MG;10;ST
810265;PENTAGLOBIN 50G/L DFL;100;ML
813708;DELPRAL AMP 2ML;5;ST
813714;DELPRAL TBL;50;ST
814033;THEOSPIREX RET FTBL 300MG;20;ST
814056;THEOSPIREX RET FTBL 300MG;50;ST
814062;TROSYD CR 1%;30;G
825462;DUPHASTON FTBL 10MG;20;ST
842012;LOMUSOL AU-TR;10;ML
842029;LOMUSOL NA-SPRAY;20;ML
851270;JOPAMIRO 300MG STAMP 100ML;1;ST
851318;JOSALID FTBL 500MG;12;ST
851376;NEUROTOP TBL 400MG;50;ST
851382;NEUROTOP TBL 400MG;100;ST
851519;SELEXID FTBL;12;ST
857568;NIMOTOP FTBL 30MG;50;ST
865042;COLIFOAM REKSCHAUM;20;G
871522;DAKTARIN LSG DERM 2%;30;ML
875023;ZOVIRAX CR 5%;10;G
892607;PROTAGENT AU-TR;10;ML
903386;CATHEJELL DIPHENH.SPR 12,5G;5;ST
903392;CATHEJELL DIPHENH.SPR 12,5G;25;ST
909986;FLAMMAZINE CR;50;G
916549;COLPERMIN KPS;50;ST
916561;ELMEX ZAHNGEL;25;G
916621;MEXALEN SIR 200MG/5ML;100;ML
916638;MEXALEN SUPP  125MG;6;ST
916644;MEXALEN SUPP  250MG;6;ST
916650;MEXALEN SUPP  500MG;6;ST
916667;MEXALEN TBL 500MG;10;ST
921220;BIOFLORIN KPS;20;ST
942966;BRUFEN FTBL 600MG;30;ST
942972;BRUFEN FTBL 600MG;50;ST
944149;ANAFRANIL RET FTBL 75MG;30;ST
944379;GYNO-PEVARYL VAG-SUPP DEP;2;ST
944712;PROXEN FTBL 500MG;30;ST
944801;ULSAL FTBL 150MG;20;ST
944818;ULSAL FTBL 150MG;50;ST
955696;MOLSIDOLAT TBL 4MG;20;ST
955704;MOLSIDOLAT TBL 4MG;50;ST
955727;PRONERV KPS;20;ST
955733;PRONERV KPS;100;ST
955756;RENITEC TBL  5MG;28;ST
955762;RENITEC TBL 10MG;28;ST
955779;RENITEC TBL 20MG;28;ST
967038;CLAVERSAL FTBL 250MG;100;ST
967156;BRONCHO-VAXOM KPS 3,5MG;10;ST
967162;BRONCHO-VAXOM KPS 3,5MG;30;ST
